ORG_UNIT_NO,FULL_NAME,Postal Address,Physical Address,Email,Phone,Fax,Contact,Portfolio,Enrolment,Description
6138,Charles Campbell College OSHC/Vac,"11 Ind Street, Paradise SA 5075","Campbell Road, Paradise SA 5075",,0434 016 573,(08) 8165 4750,Ms Julie Riccardi,,,Out of School Hours Care
6521,Christ the King School OSHC,,"126 Dunrobin Road, Warradale SA 5046",,(08) 8296 1635,(08) 8296 1990,Mrs Susan Steward,,,Out of School Hours Care
6732,Christian Brothers College Junior School OSHC/Vac,"GPO Box 2707, Adelaide SA 5001","324 Wakefield Street, Adelaide SA 5000",,(08) 8400 4222,(08) 8400 4220,Br Pat Cronin,,,Out of School Hours Care
6149,Christies Beach PS OSHC/Vac Camp Australia,,"46 Maturin Avenue, Christies Beach SA 5165",,(08) 8326 1971,(08) 8326 1971,Ms Erica Badics,,,Out of School Hours Care
6156,Clapham OSHClub,,"Barretts Road, Clapham SA 5062",,(08) 8374 1465,(08) 8374 0675,Mrs Rosey Donnelly-Grubb,,,Out of School Hours Care
6139,Clare Primary School OSHC/Vac,"PO Box 233, Clare SA 5453","137 Main North Road, Clare SA 5453",,(08) 8842 1430,(08) 8842 2129,Mrs Alison Gibson,,,Out of School Hours Care
6151,Clovelly Park Primary School OSHC/Vac,,"1 Renown Place, Clovelly Park SA 5042",,(08) 8276 5366,(08) 8374 3301,Ms Lea Spaven,,,Out of School Hours Care
8216,Cobbler Creek OSHC/Vac - Golden Grove PS,,"140 Bicentennial Drive, Golden Grove SA 5125",,(08) 8289 3137,(08) 8289 3138,Mr Troy Papa,,,Out of School Hours Care
6141,Colonel Light Gardens Primary School OSHC/Vac,,"Windsor Avenue, Colonel Light Gardens SA 5041",,(08) 8276 1523,(08) 8374 1038,Ms Inta Sture,,,Out of School Hours Care
6148,Coober Pedy Area School OSHC,"PO Box 353, Coober Pedy SA 5723","Paxton Road, Coober Pedy SA 5723",,(08) 8672 5077,(08) 8672 5738,Ms Karen Jones,,,Out of School Hours Care
6829,Coorara PS OSHC/Vac,,"Taylors Avenue, Morphett Vale SA 5162",,(08) 8325 2066,,,,,Out of School Hours Care
6032,Coromandel Valley PS OSHC/Vac,,"339 Main Road, Coromandel Valley SA 5051",,(08) 8278 9174,(08) 8370 2436,Ms Janita Bentley,,,Out of School Hours Care
6050,Cowandilla Primary School OSHC/Vac,,"21 Jenkins Street, Cowandilla SA 5033",,(08) 8351 7629,(08) 8234 2445,Ms Julie Hayes,,,Out of School Hours Care
4105,Crafers - Primary School OSHC,,"55 Piccadilly Road, Crafers SA 5152",,(08) 8339 1073,,Ms Christine Minear,,,Out of School Hours Care
6198,Craigburn Primary School OSHC/Vac,,"15 Murrays Hill Road, Flagstaff Hill SA 5159",,(08) 8270 1620,(08) 8370 5745,Ms Bec Gordon,,,Out of School Hours Care
6131,Darlington Primary School OSHC/Vac,,"9-11 White Crescent, Seacombe Gardens SA 5047",,(08) 8298 7915,(08) 8298 3672,Mrs Kay Finnis,,,Out of School Hours Care
6164,Dernancourt Primary School OSHC/Vac,,"29 Parsons Road, Dernancourt SA 5075",,(08) 8369 2723,(08) 8261 0534,Mrs Julie Hernen,,,Out of School Hours Care
6530,Dominican School OSHC,,"237 Military Road, Semaphore SA 5019",,(08) 8449 6225,(08) 8341 6414,Ms Wendy Whitehorn,,,Out of School Hours Care
6052,East Adelaide OSHC/Vac,,"59 Third Avenue, St Peters SA 5069",,(08) 8362 6585,(08) 8362 6585,Ms Francine Schiller,,,Out of School Hours Care
6171,East Marden Primary School OSHC/Vac,,"43 James Street, Campbelltown SA 5074",,(08) 8336 4980,(08) 8337 6249,Mr Anthony De Ieso,,,Out of School Hours Care
6191,East Para Primary School OSHC/Vac,"PO Box 76, Para Hills SA 5096","12 Caroona Avenue, Para Hills SA 5096",,(08) 8264 3283,(08) 8396 1916,Ms Emily Huzzel,,,Out of School Hours Care
6737,East Torrens PS - Kidsfun OSHC/Vac,,"12 Robson Road, Hectorville SA 5073",,(08) 8337 1411,(08) 8337 7243,Ms Gloria Marino,,,Out of School Hours Care
6404,Eastern Fleurieu School OSHC/Vac,,"34 East Terrace, Strathalbyn SA 5255",,(08) 8536 2344,(08) 8536 3782,Mrs Lyn Smith,,,Out of School Hours Care
6053,Echunga Primary School OSHC/Vac,,"802 Echunga Road, Echunga SA 5153",,(08) 8388 8563,(08) 8388 8451,Ms Jodie McDonald,,,Out of School Hours Care
6054,Eden Hills Primary School OSHC/Vac,,"78 Wilpena Street, Eden Hills SA 5050",,0401 121 190,(08) 8278 2236,Mrs Dianne Gloyn,,,Out of School Hours Care
6055,Edwardstown Primary School OSHC/Vac,,"Maria Street, Melrose Park SA 5039",,(08) 8293 8253,(08) 8297 0241,Mr Dennis Shanahan,,,Out of School Hours Care
6759,Elizabeth East Primary School OSHC,,"15 Dolphin Street, Elizabeth East SA 5112",,,,Ms Judy Atkinson,,,Out of School Hours Care
6145,Elizabeth Grove Primary School OSHC,,"20 Haynes Street, Elizabeth Grove SA 5112",,(08) 8255 6872,(08) 8287 1561,Ms Sandra Pengelley,,,Out of School Hours Care
6144,Elizabeth North Primary School OSHC/Vac,,"141 Woodford Road, Elizabeth North SA 5113",,(08) 8255 2327,(08) 8287 0262,Ms Colleen Wilson,,,Out of School Hours Care
6837,Emmaus Catholic School Camp Australia OSHC/Vac,,"2 Todd Street, Woodcroft SA 5162",,(08) 8322 7211,(08) 8322 7400,Ms Anne Donnelly,,,Out of School Hours Care
5355,Emmaus Christian College OSHC,,"7 Lynton Avenue, South Plympton SA 5038",,(08) 8292 3888,(08) 8371 3466,,,,Out of School Hours Care
6940,Encounter Lutheran School OSHC/Vac,,"64 Adelaide Road, Victor Harbor SA 5211",,(08) 8552 8880,(08) 8552 8833,Ms Tracey Ahrns,,,Out of School Hours Care
7970,Enfield Primary School OSHC,,"Clarice Avenue, Enfield SA 5085",,(08) 8343 6555,,,,,Out of School Hours Care
6188,Fairview Park Primary School OSHC,,"Nepondi Court, Fairview Park SA 5126",,(08) 8251 2717,(08) 8289 1681,Ms Allison Paterson,,,Out of School Hours Care
5966,Felixstow Community School OSHC,,"5-11 Briar Road, Felixstow SA 5070",,(08) 8365 7183,,,,,Out of School Hours Care
6184,Flagstaff Hill R-7 School OSHC/Vac,,"145 Black Road, Flagstaff Hill SA 5159",,(08) 8358 6666,(08) 8370 5748,Mrs Catherine Morallee,,,Out of School Hours Care
6193,Flaxmill Schools OSHC Camp Australia,,"80 Flaxmill Road, Morphett Vale SA 5162",,(08) 8326 0852,(08) 8382 9996,Mrs Annette Murphy,,,Out of School Hours Care
6058,Flinders Park Primary School OSHC/Vac,,"70 Holbrooks Road, Flinders Park SA 5025",,(08) 8234 9327,(08) 8234 2551,Ms Christine Chapman,,,Out of School Hours Care
6127,Forbes Primary School OSHC/Vac,,"80 Thomas Street, South Plympton SA 5038",,(08) 8293 2568,(08) 8297 0604,Mrs Olga Ritchie,,,Out of School Hours Care
6688,Freeling PS OSHC/Vac Camp Australia,"1731 Malvern Road, Glen Iris VIC 3146","Coulls Street, Freeling SA 5372",,0409 097 165,(08) 8525 2319,Mr Andrew Phillips,,,Out of School Hours Care
6689,Fulham North PS OSHC,,"Cheadle Street, Henley Beach SA 5022",,(08) 8353 7658,(08) 8234 2551,Mrs Maria Schuit,,,Out of School Hours Care
5410,Galilee Catholic School OSHC/Vac,"PO Box 1291, Aldinga SA 5173","Cnr Quinliven and How Road, Aldinga SA 5173",,(08) 8557 9000,(08) 8557 9099,Ms Carmel Guerin,,,Out of School Hours Care
6155,Gawler and District College OSHC,,"Barnet Road, Evanston SA 5116",,(08) 8523 1011,(08) 8523 0496,Ms Angela Hopgood,,,Out of School Hours Care
6169,Gawler East Primary School OSHC/Vac,,"Finch Road, Gawler East SA 5118",,(08) 8523 3031,(08) 8523 0497,Ms Helen Sczesny,,,Out of School Hours Care
6296,Gawler Primary School OSHC Camp Australia,"1731 Malvern Road, Glen Iris VIC 3146","School Road, Gawler SA 5118",,(08) 8522 2988,,,,,Out of School Hours Care
6115,Gidja Club Vacation Care,"PO Box 800, Port Lincoln SA 5606","30 Ravendale Road, Port Lincoln SA 5606",,(08) 8683 0155,(08) 8682 6616,Ms Amber Clarke,,,Out of School Hours Care
6290,Gilles Street Primary School OSHC/Vac,,"91 Gilles Street, Adelaide SA 5000",,(08) 8227 1746,(08) 8223 7114,Ms Mira Lisichin,,,Out of School Hours Care
6061,Glen Osmond Primary School OSHC,,"5 Fisher Street, Myrtle Bank SA 5064",,(08) 8379 0500,(08) 8379 0502,Ms Jane Philips,,,Out of School Hours Care
6060,Glenelg Primary School OSHC/Vac,,"Diagonal Road, Glenelg East SA 5045",,(08) 8376 0682,(08) 8295 2390,Ms Sue Raven,,,Out of School Hours Care
6583,Golden Grove Lutheran School OSHC/Vac,,"Cnr Richardson Drv & Sunnybrook Drv, Wynn Vale SA 5127",,(08) 8262 6090,(08) 8289 0635,Ms Katrina Ponte,,,Out of School Hours Care
6762,Good Shepherd Lutheran College Angaston OSHC,"PO Box 590, Angaston SA 5353","7 Neldner Avenue, Angaston SA 5353",,(08) 8564 2261,(08) 8564 2751,Ms Lynne Gregory,,,Out of School Hours Care
6824,Good Shepherd Lutheran Sch - Para Vista OSHC/Vac,,"388 Montague Road, Para Vista SA 5093",,(08) 8264 7966,(08) 8396 4799,Ms Fiona Hodgson,,,Out of School Hours Care
6062,Goodwood Primary School OSHC/Vac,,"140 Goodwood Road, Goodwood SA 5034",,(08) 8373 5302,(08) 8373 3096,Ms Mary Ann Milne,,,Out of School Hours Care
6063,Goolwa PS OSHC Camp Australia,,"Gardiner Street, Goolwa SA 5214",,(08) 8555 5568,(08) 8555 3899,Mr Tim Round,,,Out of School Hours Care
6064,Grange Primary School OSHC/Vac,,"39C Jetty Street, Grange SA 5022",,(08) 8353 4917,(08) 8235 1326,Ms Jasminka Huskic,,,Out of School Hours Care
7925,Gulfview Heights Primary School OSHC,,"39 Kiekebusch Road, Gulfview Heights SA 5096",,(08) 8182 6950,(08) 8281 5839,Ms Jacqueline Cridland,,,Out of School Hours Care
6065,Gumeracha Primary School OSHC/Vac,,"Albert Street, Gumeracha SA 5233",,(08) 8389 1871,(08) 8389 1319,Ms Mary Vivian,,,Out of School Hours Care
6180,Hackham East Primary School OSHC,,"Collins Parade, Hackham SA 5163",,(08) 8382 3824,(08) 8382 3054,Ms Jacqueline Smith,,,Out of School Hours Care
6066,Hahndorf Primary School OSHC/Vac,,"12 Church Street, Hahndorf SA 5245",,(08) 8388 7420,(08) 8388 7928,Mrs Sheryle Joseph,,,Out of School Hours Care
6176,Hallett Cove East PS OSHC/Vac,,"Quailo Avenue, Hallett Cove SA 5158",,(08) 8381 7577,(08) 8322 4696,Ms Sally Mitchell,,,Out of School Hours Care
6124,Hallett Cove School OSHC/Vac,,"2-32 Gledsdale Road, Hallett Cove SA 5158",,(08) 8381 3761,(08) 8381 6713,Ms Belinda Harriss,,,Out of School Hours Care
6942,Hallett Cove South Primary School OSHC,,"Livonia Street, Hallett Cove SA 5158",,(08) 8381 4080,(08) 8381 7216,Mr Max Rayner,,,Out of School Hours Care
5953,Hamilton Secondary College Vac,,"815 Marion Road, Mitchell Park SA 5043",,(08) 8243 8243,,,,,Out of School Hours Care
6068,Happy Valley Primary School OSHC/Vac,,"18 Education Road, Happy Valley SA 5159",,(08) 8322 2411,(08) 8381 6041,Mrs Roxanne Longbottom,,,Out of School Hours Care
5517,Harvest Christian College Camp Australia OSHC,,"George Street, Kadina SA 5554",,,,,,,Out of School Hours Care
6161,Hawthorndene Primary School OSHC/Vac,,"Suffolk Road, Hawthorndene SA 5051",,(08) 8278 1323,(08) 8370 2681,Ms Emma Till,,,Out of School Hours Care
6134,Hendon Primary School OSHC/Vac,,"Cedar Avenue, Royal Park SA 5014",,(08) 8345 3190,(08) 8445 1493,Ms Natasha Lloyd,,,Out of School Hours Care
5973,Henley Beach Primary Out of School Hours Care,,"38 Hazel Terrace, Henley Beach South SA 5022",,(08) 8356 2117,(08) 8235 1267,Ms Tammy Bahr,,,Out of School Hours Care
5997,Hewett PS OSHC Camp Aust,"1731 Malvern Road, Glen Iris VIC 3146","Kingfisher Drive, Hewett SA 5118",,(08) 8522 1486,(08) 8522 1837,Ms Kylie Davidson,,,Out of School Hours Care
6746,Highbury Primary School OSHC/Vac,"1 Payne Street, Hope Valley SA 5090","Cnr Honeysuckle Drive & Payne St, Hope Valley SA 5090",,(08) 8264 6311,(08) 8396 1701,Mrs Joylene Burford,,,Out of School Hours Care
6069,Highgate Primary School OSHC/Vac,"4 Hampstead Avenue, Highgate SA 5063","27 Avenue Road, Highgate SA 5063",,(08) 8357 9207,(08) 8373 3087,Ms Letetia Magrath,,,Out of School Hours Care
6845,Hillcrest Primary School OSHC/Vac,"PO Box 207, Greenacres SA 5086","Condamine Street, Hillcrest SA 5086",,(08) 8261 2845,(08) 8266 1861,Ms Tanya Grierson,,,Out of School Hours Care
6228,Holy Family Catholic School OSHC/Vac,"PO Box 2035, Salisbury Downs SA 5108","71 Shepherdson Road, Parafield Gardens SA 5107",,(08) 8250 6616,(08) 8250 3043,Ms Rebecca Allan,,,Out of School Hours Care
6939,Hope Christian College OSHC/Vac,,"213 Yorktown Road, Craigmore SA 5114",,(08) 8255 4838,(08) 8287 3236,,,,Out of School Hours Care
6842,Imagine Kilburn Kids School Holiday Program,"PO Box 155, Kilburn SA 5084","59 Gladstone Street, Kilburn SA 5084",,(08) 8260 7110,,Ms Helen Foreman,,,Out of School Hours Care
7974,Immanuel Lutheran Schl Gawler Camp Australia OSHC,,"11 Lyndoch Road, Gawler East SA 5118",,,,,,,Out of School Hours Care
5448,Immanuel Primary School Camp Australia OSHC,"1731 Malvern Road, Glen Iris VIC 3146","Cnr Saratoga Drive & Morphett Road, Novar Gardens SA 5040",,1300 105 343,,,,,Out of School Hours Care
6619,Ingle Farm East Primary School OSHC/Vac,,"18 Halidon Street, Ingle Farm SA 5098",,(08) 8264 0665,(08) 8396 1862,Ms Karen Furner,,,Out of School Hours Care
6194,Ingle Farm Primary School OSHC/Vac,"PO Box 423, Ingle Farm SA 5098","2 Belalie Road, Ingle Farm SA 5098",,(08) 8262 7208,(08) 8349 7837,Ms Karen Willis,,,Out of School Hours Care
6597,Inner North East Adelaide YMCA OSHC/Vac,,"39 Smith Street, Walkerville SA 5081",,(08) 8344 3811,(08) 8342 0040,Ms Bethany Harkin,,,Out of School Hours Care
5462,John Hartley School OSHC Camp Australia,,"199 Peachey Road, Smithfield Plains SA 5114",,,,,,,Out of School Hours Care
6071,Kangarilla/Clarendon OSHC - Kangarilla,,"33-35 McLaren Flat Road, Kangarilla SA 5157",,(08) 8383 7131,(08) 8383 7327,Mrs Dale Wells,,,Out of School Hours Care
6764,Kapunda PS OSHC/Vac,"PO Box 500, Kapunda SA 5373","Mildred Street, Kapunda SA 5373",,(08) 8566 3793,(08) 8566 3793,Ms Louise Jenner,,,Out of School Hours Care
6215,Keithcot Kings OSHC,,"5 Keithcot Farm Drive, Wynn Vale SA 5127",,(08) 8289 1133,(08) 8289 1554,Mrs Danielle Triantafyllou,,,Out of School Hours Care
6783,Kersbrook Primary School OSHC,,"Bowden Street, Kersbrook SA 5231",,0403 604 716,(08) 8389 3346,Ms Kylie Davidson,,,Out of School Hours Care
6533,Kidman Park PS OSHClub,,"1 Dean Avenue, Kidman Park SA 5025",,(08) 8353 2444,(08) 8235 1357,Mr Freddy Santos,,,Out of School Hours Care
6437,Kilkenny Primary School OSHC,,"Jane Street, West Croydon SA 5008",,(08) 8345 4138,(08) 8445 8206,Ms Linda Burke,,,Out of School Hours Care
6835,Kingscote OSHC/Vac KI CC,,"50 Buller Street, Kingscote SA 5223",,(08) 8553 2436,(08) 8553 2483,Ms Lee Tatt,,,Out of School Hours Care
6146,Klemzig Primary School OSHC/Vac - Camp Australia,,"2 Hay Street, Klemzig SA 5087",,(08) 8369 2456,(08) 8266 2132,Ms Wendy Lord,,,Out of School Hours Care
6073,Largs Bay Primary School OSHC/Vac,"215 Fletcher Road, Largs Bay SA 5016","215 Fletcher Road, Largs Bay SA 5016",,(08) 8341 5350,(08) 8449 8949,Katherine Burton,,,Out of School Hours Care
6074,Le Fevre Peninsula PS - Nth Haven Schools OSHC,"c/- North Haven PS, Tapping Crescent, North Haven SA 5018","Shorney Street, Birkenhead SA 5015",,(08) 8341 6825,(08) 8449 7227,Ms Vickie Sanders,,,Out of School Hours Care
6125,Linden Park Primary School OSHC/Vac,,"14 Hay Road, Linden Park SA 5065",,(08) 8379 4610,(08) 8379 2571,Ms Nicole Marinos,,,Out of School Hours Care
6736,Littlehampton Primary School OSHC/Vac,,"16-30 Baker Street, Littlehampton SA 5250",,(08) 8391 4742,(08) 8398 2154,Ms Kathryn Schultz,,,Out of School Hours Care
6814,Lobethal PS OSHC/Vac,,"1 School Road, Lobethal SA 5241",,(08) 8389 6419,(08) 8389 6448,Ms Theresa Kaukas,,,Out of School Hours Care
6354,Lockleys North Primary School OSHC/Vac,,"55 Malurus Avenue, Lockleys SA 5032",,(08) 8443 5308,(08) 8234 2576,Ms Melinda Todd,,,Out of School Hours Care
6076,Lockleys PS OSHC,,"3 May Terrace, Brooklyn Park SA 5032",,(08) 8354 4886,,Ms Vicki Prout,,,Out of School Hours Care
6750,Loreto College Junior School OSHC/Vac,,"316 Portrush Road, Marryatville SA 5068",,(08) 8334 4200,(08) 8364 3153,Ms Jessica Harmer,,,Out of School Hours Care
6740,Loxton District Outside School Hours Care Program,"PO Box 185, Loxton SA 5333","Pyap Street, Loxton SA 5333",,(08) 8584 6501,(08) 8584 5175,Ms Mary Provis,,,Out of School Hours Care
6830,Lyndoch PS OSHC/Vac,,"Margaret Street, Lyndoch SA 5351",,(08) 8524 5618,(08) 8524 4763,Ms Jeanette Treble,,,Out of School Hours Care
6694,Macclesfield PS Happy Haven OSHC,"PO Box 643, Macclesfield SA 5153","Luck Street, Macclesfield SA 5153",macclesfield@happyhaven.com.au,(08) 8388 9338,,,,,Out of School Hours Care
6126,Madison Park Primary School OSHC/Vac,,"19 Lincoln Avenue, Salisbury East SA 5109",,(08) 8281 5844,(08) 8281 5852,Ms Fiona Beck,,,Out of School Hours Care
6077,Magill School OSHC/Vac,,"Adelaide Street, Magill SA 5072",,(08) 8332 5762,(08) 8332 5762,Ms Natasha Keelan,,,Out of School Hours Care
6166,Marion Primary School OSHC,,"2-22 Malcolm Avenue, Marion SA 5043",,(08) 8277 4486,(08) 8374 0957,Ms Sheila Wates,,,Out of School Hours Care
6122,Mark Oliphant College (B-12) OSHC - Camp Australia,"1731 Malvern Road, Glen Iris VIC 3146","99 Douglas Drive, Munno Para SA 5115",,(08) 8209 1600,(08) 8209 1650,Mr Andrew Phillips,,,Out of School Hours Care
6078,Marryatville PS - The Red Shed OSHC/Vac,,"Dankel Avenue, Kensington SA 5068",,(08) 8332 0501,(08) 8332 4947,Ms Melissa Mills,,,Out of School Hours Care
6695,Mawson Lakes School OSHC/Vac,"PO Box 6, Pooraka SA 5095","Garden Terrace, Mawson Lakes SA 5095",,0401 121 318,(08) 8359 1762,Ms Cyndi Sapwell,,,Out of School Hours Care
6079,McLaren Flat Primary School OSHC,,"49 Main Road, McLaren Flat SA 5171",,0430 554 592,(08) 8383 0225,Ms Kay Pahl,,,Out of School Hours Care
6080,McLaren Vale - Willunga PS OSHC,,"249 Main Road, McLaren Vale SA 5171",,(08) 8323 9217,(08) 8323 9238,Ms June Sevill,,,Out of School Hours Care
6535,Meadows PS OSHC/Vac,,"Mawson Road, Meadows SA 5201",,(08) 8388 3216,(08) 8388 3405,Ms Michele Langman,,,Out of School Hours Care
5438,Memorial Oval Primary School OSHC/Vac,,"Bradford Street, Whyalla SA 5600",,(08) 8645 1812,(08) 8645 1812,,,,Out of School Hours Care
6760,Mercedes College OSHC/Vac,,"540 Fullarton Road, Springfield SA 5062",,(08) 8372 3248,(08) 8379 9540,Ms Deb Goss,,,Out of School Hours Care
2102,Midway Road Community House Vac,,"48 Midway Road, Elizabeth East SA 5112",,(08) 8255 4352,(08) 8255 4352,Ms Rebecca Langridge,,,Out of School Hours Care
6364,Minda Incorporated Vacation Care,,"13 Warwick Avenue, Dulwich SA 5065",,(08) 8179 5256,(08) 8179 5252,Ms Kylie Hutchinson,,,Out of School Hours Care
6536,Mitcham OSHClub Kingswood,"50 Downing Street, Oakleigh VIC 3166","Hillview Road, Kingswood SA 5062",,0413 018 317,(08) 8373 3015,Mr Peter Brine,,,Out of School Hours Care
6081,Modbury CPC-7 OSHC/Vac,,"2-24 Golden Grove Road, Modbury North SA 5092",oshc.vac@modburyc7.sa.edu.au,(08) 8396 3148,(08) 8396 1704,Ms Nicola Evans,,,Out of School Hours Care
6173,Modbury South PS Happy Haven OSHC,"PO Box 42, Hope Valley SA 5090","Dampier Avenue, Hope Valley SA 5090",,(08) 8264 3527,(08) 8396 1705,Ms Jo Dunn,,,Out of School Hours Care
6393,Modbury Special School OSHC/Vac,,"Dampier Avenue, Hope Valley SA 5090",,(08) 8263 4449,(08) 8395 0332,Mr Cameron Wright,,,Out of School Hours Care
6189,Modbury West School OSHC/Vac,,"450-474 Wright Road, Modbury SA 5092",,(08) 8395 0012,(08) 8396 1712,Mr Graeme Brown,,,Out of School Hours Care
5361,Moonta Area School OSHC,"PO Box 113, Moonta SA 5558","Blanche Terrace, Moonta SA 5558",,(08) 8825 2088,(08) 8825 2609,,,,Out of School Hours Care
6196,Morphett Vale East PS OSHC/Vac,,"Monarch Street, Morphett Vale SA 5162",,(08) 8326 7506,(08) 8326 3513,Mrs Elsje Aspinall,,,Out of School Hours Care
5446,Morphett Vale Primary School OSHC,,"Lawrence Street, Morphett Vale SA 5162",,(08) 8382 2901,,,,,Out of School Hours Care
6953,Mount Barker Primary School Combined OSHC/Vac,,"2A Dumas Street, Mount Barker SA 5251",,(08) 8391 1241,(08) 8391 0586,Ms Michele Duthy,,,Out of School Hours Care
6208,Mount Barker South PS OSHC/Vac,,"33-45 Princes Road, Mount Barker SA 5251",,(08) 8398 2474,(08) 8391 0912,Ms Rosie Jarvis,,,Out of School Hours Care
5359,Mount Barker Waldorf School OSHC Camp Australia,"PO Box 318, Mount Barker SA 5251","27 Sims Road, Mount Barker SA 5251",,,,Ms Marye Hobbs,,,Out of School Hours Care
5998,Mount Compass Area School OSHC,"PO Box 54, Mount Compass SA 5210","School Road, Mount Compass SA 5210",,(08) 8556 8219,(08) 8556 8471,Mrs Cheraleen Barrett,,,Out of School Hours Care
6696,Mount Pleasant PS OSHC,,"22 Hospital Road, Mount Pleasant SA 5235",,(08) 8568 2542,(08) 8568 2516,Ms Valerie Kroehn,,,Out of School Hours Care
6839,Munno Para PS Happy Haven OSHC,,"Maltarra Road, Munno Para SA 5115",,(08) 8254 8322,(08) 8254 9231,Ms Jan Webber,,,Out of School Hours Care
6083,Murray Bridge North OSHC/Vac,,"1 North Terrace, Murray Bridge SA 5253",,(08) 8531 0179,(08) 8531 0179,Ms Bev Walker,,,Out of School Hours Care
6794,Mylor Primary School OSHC/Vac,,"220 Strathalbyn Road, Mylor SA 5153",,0421 363 564,(08) 8388 5701,Ms Jenny Greenow,,,Out of School Hours Care
5518,Myponga Primary School OSHC,,"Hutchinson Street, Myponga SA 5202",,(08) 8558 6267,,,,,Out of School Hours Care
6734,NACYS OSHC,"PO Box 1518, Davoren Park SA 5113","Oldford Street, Davoren Park SA 5113",nacys@nacys.asn.au,(08) 8252 2474,,,,,Out of School Hours Care
6084,Nailsworth Primary School OSHC/Vac,,"2 Balfour Street, Nailsworth SA 5083",,(08) 8344 9700,(08) 8269 5330,Mr Leith Stace,,,Out of School Hours Care
6697,Nairne PS OSHC/Vac,"PO Box 105, Nairne SA 5252","5 Saleyard Road, Nairne SA 5252",,(08) 8388 0828,(08) 8388 6931,Mrs Jill Bache,,,Out of School Hours Care
6085,Naracoorte PS OSHC/Vac,"PO Box 534, Naracoorte SA 5271","Park Terrace, Naracoorte SA 5271",,(08) 8762 2014,(08) 8762 1677,Ms Marcia Aitken,,,Out of School Hours Care
6946,Nazareth Catholic College OSHC - Findon,"PO Box 28, Findon SA 5023","176 Crittenden Road, Findon SA 5023",info@nazareth.org.au,(08) 8406 5000,(08) 8406 5001,Ms Pauline Murphy,,,Out of School Hours Care
6182,Noarlunga Downs Primary School OSHC,,"Canterbury Crescent, Noarlunga Downs SA 5168",,(08) 8384 4395,(08) 8326 3519,Ms Lyn Blackwood,,,Out of School Hours Care
6070,North Adelaide Primary School OSHC/ Vac,,"62-80 Tynte Street, North Adelaide SA 5006",,(08) 8267 5127,(08) 8267 5127,Ms Deb Benger,,,Out of School Hours Care
6204,North Haven School OSHC/ Vac,,"Tapping Crescent, North Haven SA 5018",,(08) 8248 5844,(08) 8341 8214,Ms Janine Atkins,,,Out of School Hours Care
5992,North Ingle School OSHC Camp Aust,"1731 Malvern Road, Glen Iris VIC 3146","7 Rothwell Avenue, Ingle Farm SA 5098",,(08) 8264 7498,(08) 8336 0079,,,,Out of School Hours Care
6840,Northfield PS OSHC Camp Australia,,"North Avenue, Northfield SA 5085",info@campaustralia.com.au,(08) 8262 2607,(08) 8349 7830,,,,Out of School Hours Care
6593,Norton Summit Primary School OSHC,,"15 Crescent Drive, Norton Summit SA 5136",,(08) 8390 1771,(08) 8390 1063,Mrs Vivienne Subelli,,,Out of School Hours Care
6057,Norwood Primary School OSHC/Vac,"37 Osmond Terrace, Norwood SA 5067","96 Beulah Road, Norwood SA 5067",,(08) 8362 0805,(08) 8362 0102,Ms Margie Norton,,,Out of School Hours Care
6431,Nuriootpa - Barossa OSHC/Vac,"PO Box 646, Nuriootpa SA 5355","15 Buna Terrace, Nuriootpa SA 5355",,(08) 8562 4387,(08) 8562 1958,Ms Dianne Halse,,,Out of School Hours Care
6788,Ocean View College OSHC/Vac,"1731 Malvern Road, Glen Iris VIC 3146","23 Gedville Road, Taperoo SA 5017",,(08) 8248 2593,(08) 8341 9920,Ms Denise Stevens,,,Out of School Hours Care
6766,O'Sullivan Beach PS OSHC/Vac,,"51 Galloway Road, O'Sullivan Beach SA 5166",,(08) 8382 5888,(08) 8326 3578,Ms Linda Ross,,,Out of School Hours Care
6544,Our Lady of Grace OSHC,,"38 Beadnall Terrace, Glengowrie SA 5044",,(08) 8295 2934,(08) 8294 8831,Ms Judy Kneebone,,,Out of School Hours Care
6799,Our Lady of Hope Greenwith OSHC/Vac,,"Cnr Golden Grove Road & Golden Way, Greenwith SA 5125",,(08) 8289 9751,(08) 8289 8440,Mrs Diane Griguol,,,Out of School Hours Care
6231,Our Lady of Mount Carmel PS OSHC/Vac,,"17 Pennington Terrace, Pennington SA 5013",,(08) 8447 1405,(08) 8341 1017,Mrs Mary Kohler,,,Out of School Hours Care
3009,Our Lady of the Visitation OSHC/Vac,,"433 Victoria Road, Taperoo SA 5017",,(08) 8248 2480,(08) 8341 9456,Ms Susan Paparella,,,Out of School Hours Care
6956,Our Lady Queen of Peace School Combined OSHC,,"106 Botting Street, Albert Park SA 5014",,0417 840 700,(08) 8347 0287,Mrs Cecilia Quigley,,,Out of School Hours Care
6227,Our Saviour Lutheran School OSHC/Vac,,"28 Taylors Road, Aberfoyle Park SA 5159",,(08) 8270 6500,(08) 8270 5362,Ms Cherie Turner,,,Out of School Hours Care
2105,Para Hills PS OSHC,"67 Kesters Road, Para Hills West SA 5096","2 Frances Avenue, Para Hills SA 5096",,(08) 8349 6007,(08) 8349 4939,Ms Karen Wood,,,Out of School Hours Care
